"binomial","body_mass_median","litter_clutch_size","hab_breadth","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_planto"
"Abditomys latidens",268.09,NA,2,0,0,0,0,0,0,0,0,0,10
"Abeillia abeillei",2.7,2,2,1,0,0,0,0,0,0,9,0,0
"Abeomelomys sevia",54.88,1,2,1,0,0,0,0,0,1,0,2,6
"Abrawayaomys ruschii",62.99,NA,1,2,0,0,0,0,0,1,0,4,3
"Abrocoma bennettii",250.5,3.93,1,0,0,0,0,0,0,0,0,0,10
"Abrocoma boliviensis",158,NA,2,0,0,0,0,0,0,0,0,0,10
"Abrocoma budini",214.69,1.995,2,0,0,0,0,0,0,0,0,0,10
"Abrocoma cinerea",221.82,2.0925,2,0,0,0,0,0,0,0,0,0,10
"Abrocoma famatina",214.69,1.995,2,0,0,0,0,0,0,0,0,0,10
"Abrocoma shistacea",214.69,1.995,2,0,0,0,0,0,0,0,0,0,10
"Abrocoma uspallata",189.48465,NA,3,0,0,0,0,0,0,0,0,0,10
"Abrocoma vaccarum",221.82,1.995,1,0,0,0,0,0,0,0,0,0,10
"Abroscopus albogularis",4.84,3.9,2,10,0,0,0,0,0,0,0,0,0
"Abroscopus schisticeps",4.775,4.5,1,10,0,0,0,0,0,0,0,0,0
"Abroscopus superciliaris",6.49,3.2,2,10,0,0,0,0,0,0,0,0,0
"Abrothrix andinus",24.91,NA,2,3,0,0,0,0,0,0,0,0,7
"Abrothrix hershkovitzi",30.96,NA,NA,3,0,0,0,0,0,0,0,0,7
"Abrothrix illuteus",47.79,NA,1,3,0,0,0,0,0,0,0,0,7
"Abrothrix jelskii",34.5,NA,5,3,0,0,0,0,0,0,0,0,7
"Abrothrix lanosus",27.83,NA,2,3,0,0,0,0,0,0,0,0,7
"Abrothrix longipilis",38.86,4.2725,5,3,0,0,0,0,0,0,0,0,7
"Abrothrix markhami",29.03,5.42,NA,3,0,0,0,0,0,0,0,0,7
"Abrothrix olivaceus",24.52,5.38,3,3,0,0,0,0,0,0,0,0,7
"Abrothrix sanborni",24.7,NA,1,3,0,0,0,0,0,0,0,0,7
"Aburria aburri",1366.915,NA,3,0,0,0,0,0,0,10,0,0,0
"Acanthagenys rufogularis",47.8,2.3,6,4,0,0,0,1,0,1,3,1,0
"Acanthidops bairdi",16,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthisitta chloris",6.7175,4,4,9,0,0,0,0,0,1,0,0,0
"Acanthiza apicalis",7.56,NA,10,7,0,0,0,0,0,1,1,1,0
"Acanthiza chrysorrhoa",9.3325,3.5,10,8,0,0,0,0,0,0,0,2,0
"Acanthiza ewingii",6.925,3.5,6,8,0,0,0,0,0,0,0,2,0
"Acanthiza inornata",7,3.5,5,8,0,0,0,0,0,0,2,0,0
"Acanthiza iredalei",5.92,3,3,8,0,0,0,0,0,0,0,1,1
"Acanthiza katherina",7.025,2.25,2,10,0,0,0,0,0,0,0,0,0
"Acanthiza lineata",6.975,3,9,6,0,0,0,0,0,0,2,2,0
"Acanthiza murina",8.4,2,1,10,0,0,0,0,0,0,0,0,0
"Acanthiza nana",6.27,3,9,8,0,0,0,0,0,0,0,2,0
"Acanthiza pusilla",7.61,2.7,11,7,0,0,0,0,0,1,1,1,0
"Acanthiza reguloides",7.7,3.7,5,8,0,0,0,0,0,0,1,1,0
"Acanthiza robustirostris",6.075,2.7,3,10,0,0,0,0,0,0,0,0,0
"Acanthiza uropygialis",6.375,3,6,8,0,0,0,0,0,0,0,1,1
"Acanthorhynchus superciliosus",9.735,1.48,6,3,0,0,0,0,0,0,7,0,0
"Acanthorhynchus tenuirostris",10.11375,2.1,8,5,0,0,0,0,0,0,5,0,0
"Acanthornis magna",10.19,3.25,2,10,0,0,0,0,0,0,0,0,0
"Accipiter albogularis",250.125,NA,5,0,8,2,0,0,0,0,0,0,0
"Accipiter badius",135.575,3.25,8,1,3,6,0,0,0,0,0,0,0
"Accipiter bicolor",316.27,2.7,4,0,10,0,0,0,0,0,0,0,0
"Accipiter brachyurus",142,NA,2,0,10,0,0,0,0,0,0,0,0
"Accipiter brevipes",194.99,4,8,4,2,4,0,0,0,0,0,0,0
"Accipiter butleri",332.94,NA,1,1,0,9,0,0,0,0,0,0,0
"Accipiter castanilius",158.4425,NA,1,1,8,1,0,0,0,0,0,0,0
"Accipiter cirrocephalus",172.865,3.25,9,1,8,1,0,0,0,0,0,0,0
"Accipiter collaris",332.94,NA,1,0,8,0,0,2,0,0,0,0,0
"Accipiter cooperii",440.835,4.35,7,0,9,1,0,0,0,0,0,0,0
"Accipiter erythrauchen",156,NA,3,0,10,0,0,0,0,0,0,0,0
"Accipiter erythropus",109.1,2,3,4,6,0,0,0,0,0,0,0,0
"Accipiter fasciatus",406.08,3,7,2,4,3,0,0,1,0,0,0,0
"Accipiter francesiae",136.035,3,6,6,2,2,0,0,0,0,0,0,0
"Accipiter gentilis",927.395,3.5,4,0,9,1,0,0,0,0,0,0,0
"Accipiter griseiceps",253.63,NA,4,2,4,4,0,0,0,0,0,0,0
"Accipiter gularis",119.705,3.2,10,1,8,1,0,0,0,0,0,0,0
"Accipiter gundlachi",675,3.75,5,0,10,0,0,0,0,0,0,0,0
"Accipiter haplochrous",219.455,3,5,3,2,5,0,0,0,0,0,0,0
"Accipiter henicogrammus",332.94,NA,2,3,4,3,0,0,0,0,0,0,0
"Accipiter henstii",1050,2,5,0,10,0,0,0,0,0,0,0,0
"Accipiter hiogaster",342.75,2.725,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accipiter imitator",230.12,NA,2,4,0,6,0,0,0,0,0,0,0
"Accipiter luteoschistaceus",213.875,NA,4,4,0,6,0,0,0,0,0,0,0
"Accipiter madagascariensis",181.205,3,4,2,6,2,0,0,0,0,0,0,0
"Accipiter melanochlamys",267,NA,3,1,8,1,0,0,0,0,0,0,0
"Accipiter melanoleucus",700.43666665,2.8,6,0,9,1,0,0,0,0,0,0,0
"Accipiter meyerianus",789.27,3,2,0,10,0,0,0,0,0,0,0,0
"Accipiter minullus",85.74,2,7,2,6,2,0,0,0,0,0,0,0
"Accipiter nanus",332.94,NA,2,7,3,0,0,0,0,0,0,0,0
"Accipiter nisus",216.395,4.75,12,0,10,0,0,0,0,0,0,0,0
"Accipiter novaehollandiae",402.82166665,2.725,3,3,4,3,0,0,0,0,0,0,0
"Accipiter ovampensis",197.08333335,3,4,0,10,0,0,0,0,0,0,0,0
"Accipiter poliocephalus",219.88,1,3,2,0,8,0,0,0,0,0,0,0
"Accipiter poliogaster",1369.41,NA,1,0,0,0,0,10,0,0,0,0,0
"Accipiter princeps",332.94,NA,2,5,0,0,0,5,0,0,0,0,0
"Accipiter rhodogaster",180.605,NA,4,2,6,2,0,0,0,0,0,0,0
"Accipiter rufitorques",209,2.7,4,2,8,0,0,0,0,0,0,0,0
"Accipiter rufiventris",198,3,6,1,8,1,0,0,0,0,0,0,0
"Accipiter soloensis",162.885,3.5,6,1,2,7,0,0,0,0,0,0,0
"Accipiter striatus",134.545,4.25,10,0,10,0,0,0,0,0,0,0,0
"Accipiter superciliosus",86.705,1.85,2,0,8,2,0,0,0,0,0,0,0
"Accipiter sylvestris",316.201365247872,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accipiter tachiro",339.75,2.45,6,1,7,2,0,0,0,0,0,0,0
"Accipiter toussenelii",273.895,2.45,6,1,7,2,0,0,0,0,0,0,0
"Accipiter trinotatus",146.125,NA,2,2,1,7,0,0,0,0,0,0,0
"Accipiter trivirgatus",270.52,2,4,2,6,2,0,0,0,0,0,0,0
"Accipiter virgatus",115.245,3.5,5,2,6,2,0,0,0,0,0,0,0
"Acerodon celebensis",384.84,0.98,2,0,0,0,0,0,0,10,0,0,0
"Acerodon humilis",462.47,NA,1,0,0,0,0,0,0,10,0,0,0
"Acerodon jubatus",1087.04,1,2,0,0,0,0,0,0,10,0,0,0
"Acerodon leucotis",462.47,NA,1,0,0,0,0,0,0,10,0,0,0
"Acerodon mackloti",467.93,0.98,2,0,0,0,0,0,0,10,0,0,0
"Aceros nipalensis",2385,1.45,2,0,0,0,0,0,0,10,0,0,0
"Achaetops pycnopygius",28.225,NA,3,8,0,0,0,0,0,1,0,1,0
"Acinonyx jubatus",50577.92,3.16,6,0,10,0,0,0,0,0,0,0,0
"Acomys airensis",38.657,2.47,5,1,0,0,0,3,0,0,0,1,5
"Acomys cahirinus",45.2,2.45,3,0,0,0,0,3,0,0,0,0,7
"Acomys cilicicus",38.305,NA,1,0,0,0,0,3,0,0,0,0,7
"Acomys cineraceus",30.59,2.47,5,1,0,0,0,3,0,0,0,1,5
"Acomys dimidiatus",45.2,2.47,7,1,0,0,0,3,0,0,0,1,5
"Acomys ignitus",24,2.47,2,0,0,0,0,3,0,0,0,0,7
"Acomys johannis",43.6,2.47,3,1,0,0,0,3,0,0,0,1,5
"Acomys kempi",22,2.47,2,0,0,0,0,3,0,0,0,0,7
"Acomys louisae",20.2,NA,3,0,0,0,0,3,0,0,0,0,7
"Acomys minous",62.5,2.47,2,0,0,0,0,3,0,0,0,0,7
"Acomys mullah",45.2,2.47,2,0,0,0,0,3,0,0,0,0,7
"Acomys nesiotes",36.66833977,2.47,1,0,0,0,0,3,0,0,0,0,7
"Acomys percivali",21.99,NA,3,0,0,0,0,3,0,0,0,0,7
"Acomys russatus",49.75,2.5,1,2,0,0,0,4,0,0,0,1,3
"Acomys seurati",38.657,2.47,2,1,0,0,0,3,0,0,0,1,5
"Acomys spinosissimus",26.5,2.71,2,0,0,0,0,3,0,0,0,0,7
"Acomys subspinosus",21.92,NA,2,0,0,0,0,3,0,0,0,0,7
"Acomys wilsoni",18.5,2.29,3,0,0,0,0,3,0,0,0,0,7
"Aconaemys fuscus",129.95,3.23,2,0,0,0,0,0,0,4,0,0,6
"Aconaemys porteri",113.5,3.23,2,0,0,0,0,0,0,4,0,0,6
"Aconaemys sagei",96.49,NA,2,0,0,0,0,0,0,4,0,0,6
"Acridotheres albocinctus",93.56,4,3,4,0,1,0,0,0,2,1,2,0
"Acridotheres cinereus",89.28,4.2,2,8,0,0,0,0,0,2,0,0,0
"Acridotheres cristatellus",116.405,4.25,5,5,0,0,0,0,1,4,0,0,0
"Acridotheres fuscus",83.9,4.2,3,4,0,0,0,0,0,3,1,2,0
"Acridotheres ginginianus",71.5,4.9,6,4,0,1,0,0,0,2,1,2,0
"Acridotheres grandis",98.955,4.9,4,6,0,0,0,0,0,2,0,2,0
"Acridotheres tristis",114.965,4.5,7,4,1,1,1,0,0,1,1,1,0
"Acrobates pygmaeus",13,2.9,2,8,0,0,0,0,0,0,1,0,1
"Acrobatornis fonsecai",13.65,NA,2,10,0,0,0,0,0,0,0,0,0
"Acrocephalus aedon",22.4,NA,NA,10,0,0,0,0,0,0,0,0,0
"Acrocephalus aequinoctialis",25,NA,1,8,0,2,0,0,0,0,0,0,0
"Acrocephalus agricola",9.575,4.5,4,10,0,0,0,0,0,0,0,0,0
"Acrocephalus arundinaceus",30.0875,4.2,10,7,0,2,0,0,0,1,0,0,0
"Acrocephalus atyphus",31.21,NA,4,7,0,2,0,0,0,0,0,0,1
"Acrocephalus australis",20.95,4.2,5,10,0,0,0,0,0,0,0,0,0
"Acrocephalus bistrigiceps",8.585,4.9,4,10,0,0,0,0,0,0,0,0,0
"Acrocephalus brevipennis",16.125,2.5,8,9,0,0,0,0,0,1,0,0,0
"Acrocephalus caffer",31.21,NA,3,7,0,1,1,0,0,0,1,0,0
"Acrocephalus concinens",8.3,3.5,4,10,0,0,0,0,0,0,0,0,0
"Acrocephalus dumetorum",11.3625,4.2,7,9,0,0,0,0,0,0,0,1,0
"Acrocephalus familiaris",18.275,NA,1,9,0,0,0,0,0,0,0,1,0
"Acrocephalus gracilirostris",14.4,2.35,6,8,0,2,0,0,0,0,0,0,0
"Acrocephalus griseldis",23.35,4.2,11,7,0,2,0,0,0,1,0,0,0
"Acrocephalus kerearako",22.5375,NA,4,10,0,0,0,0,0,0,0,0,0
"Acrocephalus melanopogon",10.95,4,2,9,0,0,0,0,0,1,0,0,0
"Acrocephalus mendanae",31.21,NA,3,6,0,1,0,0,0,1,1,1,0
"Acrocephalus newtoni",17.125,3,3,10,0,0,0,0,0,0,0,0,0
"Acrocephalus orinus",24.2,NA,3,8,0,1,0,0,0,0,0,1,0
"Acrocephalus paludicola",11.825,4.935,2,10,0,0,0,0,0,0,0,0,0
"Acrocephalus palustris",11.75,4.41,10,8,0,0,0,0,0,2,0,0,0
"Acrocephalus rehsei",26.1425,NA,4,10,0,0,0,0,0,0,0,0,0
"Acrocephalus rimatarae",26.5,NA,NA,9,0,1,0,0,0,0,0,0,0
"Acrocephalus rodericanus",11.8,NA,3,10,0,0,0,0,0,0,0,0,0
"Acrocephalus rufescens",22.135,2.45,2,8,0,2,0,0,0,0,0,0,0
"Acrocephalus schoenobaenus",11.865,5.5,7,7,0,0,0,0,0,1,0,1,1
"Acrocephalus scirpaceus",12.05,3.9,6,7,0,0,0,0,0,1,0,1,1
"Acrocephalus sechellensis",15.885,NA,1,9,0,1,0,0,0,0,0,0,0
"Acrocephalus sorghophilus",14.18,NA,1,8,0,0,0,0,0,0,0,2,0
"Acrocephalus stentoreus",24.2,4.2,7,8,0,1,0,0,0,0,0,1,0
"Acrocephalus syrinx",26.1425,NA,3,9,0,1,0,0,0,0,0,0,0
"Acrocephalus taiti",24.325,NA,1,8,0,0,0,0,0,1,0,1,0
"Acrocephalus tangorum",12.445,4.9,4,9,0,1,0,0,0,0,0,0,0
"Acrocephalus vaughani",24.435,NA,3,10,0,0,0,0,0,0,0,0,0
"Acropternis orthonyx",89.93,NA,1,8,0,0,0,0,0,0,0,0,2
"Acryllium vulturinum",1331.9375,10,4,1,0,0,0,0,0,2,0,2,5
"Actenoides bougainvillei",188,NA,2,5,0,5,0,0,0,0,0,0,0
"Actenoides capucinus",114.605,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actenoides concretus",73.71,NA,2,6,0,2,2,0,0,0,0,0,0
"Actenoides excelsus",114.605,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actenoides hombroni",121.75,NA,2,7,0,2,1,0,0,0,0,0,0
"Actenoides lindsayi",93.17,NA,1,8,0,0,0,2,0,0,0,0,0
"Actenoides monachus",106,NA,1,10,0,0,0,0,0,0,0,0,0
"Actenoides princeps",105,NA,2,10,0,0,0,0,0,0,0,0,0
"Actenoides regalis",114.605,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinodura egertoni",35.875,NA,3,6,0,0,0,0,0,2,0,2,0
"Actinodura morrisoniana",23.985,NA,NA,8,0,0,0,0,0,1,0,1,0
"Actinodura nipalensis",43.935,NA,NA,6,0,0,0,0,0,1,1,1,1
"Actinodura ramsayi",38.35,NA,3,8,0,0,0,0,0,0,0,0,2
"Actinodura sodangorum",38.1,NA,4,7,0,0,0,0,0,1,0,1,1
"Actinodura souliei",39.34,NA,NA,10,0,0,0,0,0,0,0,0,0
"Actinodura waldeni",47.115,NA,NA,4,0,0,0,0,0,3,0,1,2
"Actitis hypoleucos",48,4,15,5,0,2,2,0,0,0,0,0,1
"Actitis macularius",41.129166665,4,10,8,0,0,2,0,0,0,0,0,0
"Actophilornis africanus",194.7825,4,12,8,0,0,0,0,0,0,0,2,0
"Actophilornis albinucha",239,4,6,6,0,0,0,0,0,0,0,4,0
"Addax nasomaculatus",94288.68,1,3,0,0,0,0,0,0,0,0,0,10
"Adelomyia melanogenys",4.5025,2,1,1,0,0,0,0,0,0,9,0,0
"Aechmophorus clarkii",1175.2775,3,1,1,0,0,9,0,0,0,0,0,0
"Aechmophorus occidentalis",1225.475,3,1,1,0,0,9,0,0,0,0,0,0
"Aegialomys galapagoensis",63.51,NA,3,2,0,0,0,0,0,2,0,2,4
"Aegialomys xanthaeolus",79.79,NA,5,2,0,0,0,0,0,2,0,2,4
"Aegithalos caudatus",8.6,9.9,9,6,0,0,0,0,0,1,1,1,1
"Aegithalos concinnus",6.175,4.2,7,7,0,0,0,0,0,2,0,1,0
"Aegithalos fuliginosus",6.325,NA,2,5,0,0,0,0,0,5,0,0,0
"Aegithalos iouschistos",7.125,4.5,4,7,0,0,0,0,0,0,0,0,3
"Aegithalos leucogenys",6.85,6.3,3,10,0,0,0,0,0,0,0,0,0
"Aegithalos niveogularis",7.65,4.25,2,8,0,0,0,0,0,0,0,0,2
"Aegithina lafresnayei",11.96,3,1,10,0,0,0,0,0,0,0,0,0
"Aegithina nigrolutea",11.915,2.4,2,10,0,0,0,0,0,0,0,0,0
"Aegithina tiphia",12.25,2.9,8,10,0,0,0,0,0,0,0,0,0
"Aegithina viridissima",13.4625,2,2,10,0,0,0,0,0,0,0,0,0
"Aegolius acadicus",98.1575,5.5,5,2,8,0,0,0,0,0,0,0,0
"Aegolius funereus",134.34,5.145,3,3,7,0,0,0,0,0,0,0,0
"Aegolius harrisii",119.875,3,7,5,5,0,0,0,0,0,0,0,0
"Aegolius ridgwayi",80,5.5,1,2,8,0,0,0,0,0,0,0,0
"Aegotheles affinis",47.25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegotheles albertisi",36.15,NA,3,10,0,0,0,0,0,0,0,0,0
"Aegotheles archboldi",31.7,NA,1,10,0,0,0,0,0,0,0,0,0
"Aegotheles bennettii",53.625,NA,1,10,0,0,0,0,0,0,0,0,0
"Aegotheles crinifrons",136,NA,3,10,0,0,0,0,0,0,0,0,0
"Aegotheles cristatus",43.4525,3.265,3,10,0,0,0,0,0,0,0,0,0
"Aegotheles insignis",79,NA,1,10,0,0,0,0,0,0,0,0,0
"Aegotheles savesi",59.38,NA,2,10,0,0,0,0,0,0,0,0,0
"Aegotheles tatei",52,NA,1,10,0,0,0,0,0,0,0,0,0
"Aegotheles wallacii",50.115,NA,2,10,0,0,0,0,0,0,0,0,0
"Aegypius monachus",9472.775,1,4,0,0,0,0,0,10,0,0,0,0
"Aepeomys lugens",37,NA,3,2,0,0,0,0,0,1,0,4,3
"Aepeomys reigi",37,NA,3,2,0,0,0,0,0,1,0,4,3
"Aepyceros melampus",52500.08,0.99,3,0,0,0,0,0,0,0,0,0,10
"Aepypodius arfakianus",1475.775,20,1,1,0,0,0,0,0,5,0,4,0
"Aepypodius bruijnii",192,NA,2,1,0,0,0,0,0,5,0,4,0
"Aepyprymnus rufescens",2820,1.0225,3,0,0,0,0,0,0,0,0,0,10
"Aeretes melanopterus",499.83221285,NA,1,1,0,0,0,0,0,2,0,5,2
"Aerodramus bartschi",7.325,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus brevirostris",12.5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus elaphrus",11.3,1.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus francicus",9.275,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus fuciphagus",10.7,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus hirundinaceus",10.1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus infuscatus",11.6691176470588,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus inquietus",11.6691176470588,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus leucophaeus",11.6691176470588,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus maximus",16.8,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus mearnsi",11.4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus nuditarsus",11.6691176470588,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus orientalis",11.6691176470588,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus papuensis",20.15,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus pelewensis",11.6691176470588,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus salangana",10.05,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus sawtelli",8.6,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus spodiopygius",9.3,1.7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus terraereginae",11.875,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus unicolor",11.7,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus vanikorensis",10.675,1.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus vulcanorum",12.625,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerodramus whiteheadi",14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeromys tephromelas",1187,1.0525,1,1,0,0,0,0,0,3,0,3,3
"Aeromys thomasi",1430.19,NA,2,1,0,0,0,0,0,3,0,3,3
"Aeronautes andecolus",17.1125,NA,1,10,0,0,0,0,0,0,0,0,0
"Aeronautes montivagus",20.12,NA,3,10,0,0,0,0,0,0,0,0,0
"Aeronautes saxatalis",32.025,4.35,5,10,0,0,0,0,0,0,0,0,0
"Aethalops aequalis",15,0.995,3,0,0,0,0,0,0,5,5,0,0
"Aethalops alecto",15,0.99,1,0,0,0,0,0,0,7,3,0,0
"Aethia cristatella",261.68,1,13,8,0,0,2,0,0,0,0,0,0
"Aethia psittacula",271.49,1,12,8,0,0,2,0,0,0,0,0,0
"Aethia pusilla",84.495,1,12,10,0,0,0,0,0,0,0,0,0
"Aethia pygmaea",115.75,1,12,10,0,0,0,0,0,0,0,0,0
"Aethomys bocagei",71.87194402,NA,3,0,0,0,0,0,0,2,0,2,6
"Aethomys chrysophilus",79.7,3.2175,6,0,0,0,0,0,0,2,0,2,6
"Aethomys granti",40,NA,2,1,0,0,0,0,0,1,0,2,6
"Aethomys hindei",103.5,2.475,3,0,0,0,0,0,0,2,0,2,6
"Aethomys ineptus",133.16,3.345,3,0,0,0,0,0,0,2,0,2,6
"Aethomys kaiseri",90,2.95,4,0,0,0,0,0,0,2,0,2,6
"Aethomys namaquensis",57.3,3.62,9,1,0,0,0,0,0,1,0,2,6
"Aethomys nyikae",77.0125,3.56,1,0,0,0,0,0,0,2,0,2,6
"Aethomys silindensis",83.122932005,NA,2,0,0,0,0,0,0,2,0,2,6
"Aethomys stannarius",83.192932005,NA,3,0,0,0,0,0,0,2,0,2,6
"Aethomys thomasi",84.69,2.9,1,0,0,0,0,0,0,2,0,2,6
"Aethopyga bella",4.05,2,4,5,0,0,0,0,0,0,5,0,0
"Aethopyga boltoni",7.145,NA,2,5,0,0,0,0,0,0,5,0,0
"Aethopyga christinae",5.225,NA,1,2,0,0,0,0,0,0,3,5,0
"Aethopyga duyvenbodei",6.03,NA,3,5,0,0,0,0,0,0,5,0,0
"Aethopyga eximia",6.03,NA,3,5,0,0,0,0,0,0,5,0,0
"Aethopyga flagrans",6.7375,NA,1,5,0,0,0,0,0,0,5,0,0
"Aethopyga gouldiae",5.5625,NA,5,5,0,0,0,0,0,0,5,0,0
"Aethopyga ignicauda",8.2125,NA,2,5,0,0,0,0,0,0,5,0,0
"Aethopyga linaraborae",7.525,NA,1,5,0,0,0,0,0,0,5,0,0
"Aethopyga mystacalis",6,NA,2,5,0,0,0,0,0,0,5,0,0
"Aethopyga nipalensis",6.6125,2,7,5,0,0,0,0,0,0,5,0,0
"Aethopyga primigenia",6.95,NA,1,5,0,0,0,0,0,0,5,0,0
"Aethopyga pulcherrima",6.1375,NA,3,5,0,0,0,0,0,0,5,0,0
"Aethopyga saturata",5.225,NA,4,4,0,0,0,0,0,0,6,0,0
"Aethopyga shelleyi",4.05,2,4,5,0,0,0,0,0,0,5,0,0
"Aethopyga siparaja",6.8,2,6,5,0,0,0,0,0,0,5,0,0
"Afropavo congensis",1211.45,2.7,1,6,0,0,0,0,0,4,0,0,0
"Afrotis afra",689,1.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afrotis afraoides",722.5,1.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agamia agami",565.995,2.8,4,0,0,0,10,0,0,0,0,0,0
"Agapornis canus",29.9,4,6,0,0,0,0,0,0,5,0,5,0
"Agapornis fischeri",48.3,5.5,3,0,0,0,0,0,0,2,0,8,0
"Agapornis lilianae",37.3,5.7,4,0,0,0,0,0,0,3,0,4,3
"Agapornis nigrigenis",40.475,4.9,3,0,0,0,0,0,0,0,0,8,2
"Agapornis personatus",52.44,5.5,1,0,0,0,0,0,0,0,0,10,0
"Agapornis pullarius",39.4,4.5,4,0,0,0,0,0,0,3,0,7,0
"Agapornis roseicollis",54.04,5,3,0,0,0,0,0,0,0,0,7,3
"Agapornis swindernianus",39.99,NA,2,2,0,0,0,0,0,4,0,4,0
"Agapornis taranta",57.49,5,4,0,0,0,0,0,0,5,0,5,0
"Agelaioides badius",44.375,NA,6,6,0,0,0,0,0,0,0,4,0
"Agelaius assimilis",50.84,3.29,3,0,0,0,0,0,0,0,0,10,0
"Agelaius humeralis",36.32,3.5,4,0,0,0,0,0,0,0,4,6,0
"Agelaius phoeniceus",52.39,3.3,3,5,0,0,0,0,0,0,0,5,0
"Agelaius tricolor",57.21,3.25,2,7,0,0,0,0,0,0,0,3,0
"Agelaius xanthomus",38.4,3,4,6,0,0,0,0,0,3,0,1,0
"Agelastes meleagrides",815,12,3,8,0,0,0,0,0,1,0,1,0
"Agelastes niger",699.995,NA,1,7,0,0,0,0,0,1,0,1,1
"Agelasticus cyanopus",34.755,3,1,4,0,0,0,0,0,0,0,6,0
"Agelasticus thilius",31.6,3,4,5,0,0,0,0,0,0,0,5,0
"Agelasticus xanthophthalmus",45.1,NA,1,10,0,0,0,0,0,0,0,0,0
"Aglaeactis aliciae",7.8,NA,1,1,0,0,0,0,0,0,9,0,0
"Aglaeactis castelnaudii",6.7,NA,2,1,0,0,0,0,0,0,9,0,0
"Aglaeactis cupripennis",7.6,2,2,1,0,0,0,0,0,0,9,0,0
"Aglaeactis pamela",5.5,NA,2,1,0,0,0,0,0,0,9,0,0
"Aglaiocercus berlepschi",4.935,NA,2,1,0,0,0,0,0,0,9,0,0
"Aglaiocercus coelestis",5.655,NA,2,1,0,0,0,0,0,0,9,0,0
"Aglaiocercus kingii",4.9,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agriornis albicauda",53,NA,5,4,3,3,0,0,0,0,0,0,0
"Agriornis lividus",99.125,2.8,2,4,3,3,0,0,0,0,0,0,0
"Agriornis micropterus",67.72,3.5,6,4,3,3,0,0,0,0,0,0,0
"Agriornis montanus",63.475,2.4,7,3,3,2,0,0,0,0,0,2,0
"Agriornis murinus",29.8875,3,4,4,3,3,0,0,0,0,0,0,0
"Ailuroedus buccoides",138,1,1,4,1,1,0,0,0,4,0,0,0
"Ailuroedus crassirostris",206.16,2,4,1,1,1,0,0,0,5,1,0,1
"Ailuroedus melanotis",189.445,2,3,1,1,0,0,0,0,6,1,0,1
"Ailuropoda melanoleuca",117500,1.58,2,0,1,0,0,0,0,0,0,0,9
"Ailurops melanotis",8500,1.5,1,0,0,0,0,0,0,0,0,0,10
"Ailurops ursinus",10000,1.5,4,0,0,0,0,0,0,0,0,0,10
"Ailurus fulgens",4900,1.85,1,1,1,0,0,0,0,1,0,1,6
"Aimophila notosticta",27.1,NA,2,6,0,0,0,0,0,0,0,4,0
